标题,发表日期,作者,来源链接,关键词,摘要,主题,研究方法,核心问题,新兴议题,分析异常
,,,,,,Dual-process theories of supportive message effectiveness: Distinguishing between cognitive and emotional content dimensions in social support; Mechanisms of message processing: How affect-oriented versus cognition-oriented support differentially influence recipient outcomes; Theoretical refinement of supportive communication constructs: Moving beyond global assessments of message quality to specific content-type effects,quantitative,How do emotion content and cognition content in supportive messages produce distinct effects on recipient well-being through different mediating mechanisms?,是,
,,,,,,Disinformation intervention efficacy and boundary conditions; Corrective information and psychological reactance mitigation; Signal detection theory as a framework for misinformation susceptibility,unknown,"How do corrective information and self-affirmation interventions affect individuals' ability to accurately discriminate between true and false political claims, and what are their gains, limits, and side-effects as assessed through signal detection theory?",是,
,,,,,,Hybrid organizing and organizational resilience; Symbolic communication and representational networks in social media; Dual/multiple goal pursuit in organizations; Discursive construction of hybridity; Social media as a site for resilience enactment,text analysis,"How do organizations pursuing multiple, competing goals use social media communication to symbolically construct hybridity and enact resilience through representational networks?",是,
,,,,,,Workplace communication and organizational behavior; Competence perception and impression management; Help-seeking as communicative action,experimental,How does direct versus indirect help-seeking in the workplace affect observers' perceptions of the help-seeker's competence?,是,
,,,,,,Longitudinal causal inference and reciprocal dynamics in political communication; Methodological validity of cross-lagged panel models for media effects; The spiral relationship between social media engagement and political participation,unknown,"What do cross-lagged panel models actually reveal about the reciprocal causal relationships between social media use, political expression, and political participation over time?",是,
,,,,,,"Platformed violence and networked harassment; Online conspiracy theory communities and collective action; Media representation, childhood innocence, and moral panic; Affective publics and digital vigilantism; Cultural intermediaries and celebrity in digital harassment campaigns",unknown,"How do online conspiracy theory communities mobilize platformed violence against media figures and cultural institutions, as exemplified by the harassment campaign targeting a Danish children's TV show?",是,
,,,,,,Mediatization of organized crime and the construction of criminal personae in digital and legacy media; Memetic stickiness and the viral circulation of gang myths across platform ecologies; The interplay between legacy news framing and user-generated content on TikTok in shaping public perceptions of criminality,mixed methods,"How do gang-related myths and monikers circulate and become entrenched across Swedish legacy news media and TikTok, and what discursive mechanisms contribute to their stickiness?",是,
,,,,,,Digital racism and technology-facilitated violence as extensions of structural racism; Intersectional experiences of activists facing technology-facilitated violence in the Global South; Decolonizing communication and media studies by centering non-Western contexts of digital harm,qualitative,"How do race and ethnicity shape the experiences of technology-facilitated violence among activists in Chocó, Colombia?",是,
,,,,,,Gender performativity and digital violence; Image-based sexual abuse as a mechanism of social control; Digital ethnography of perpetration and toxic masculinity,qualitative,"How do perpetrators of image-based sexual abuse 'do gender' through their acts of non-consensual intimate image creation, sharing, and threats?",是,
,,,,,,Digital affordances and platform governance during state-imposed connectivity disruptions; The social construction of truth and misinformation in information vacuums; Community formation and visibility politics under conditions of mediated censorship,qualitative,"How are affordances of digital platforms reconfigured, and how do communities negotiate truth, visibility, and collective meaning-making during state-imposed Internet shutdowns in Sri Lanka?",是,
,,,,,,Transnational digital hostility and participatory warfare; Deconstruction of academic expertise in conflict zones; (Auto)netnographic methodology for studying online/offline violence,qualitative,How does transnational participatory warfare (re)construct and deconstruct academic 'expertise' in the context of offline and online violence in Somalia/Somaliland?,是,
,,,,,,platform governance and content moderation inconsistencies; androcentrism and hegemonic masculinity in digital spaces; marginalized community vulnerability in livestreaming platforms,qualitative,How do inconsistencies in Twitch's Terms of Service and Community Guidelines enforcement perpetuate androcentric hegemony and fail to protect marginalized streamers from harassment?,是,
,,,,,,Digital visual culture and moral witnessing in terrorism; Platform governance and decentralized content moderation challenges; Performance of violence and self-documentation as communicative action,qualitative,How does self-documented terrorism on decentralized digital platforms erode traditional moral frameworks for witnessing violence?,是,
,,,,,,"Memetic misogyny as a form of implicit, polysemous, and ephemeral visual gender-based hate; Contextual factors in the construction and circulation of gendered online hate; Multiplatform systematic analysis of digital misogyny through feminist ethnographic and semiotic approaches",unknown,How do contextual factors shape the mythologies and meaning-making processes of memetic misogyny across multiple digital platforms?,是,
,,,,,,Platform governance and content moderation; Memory studies and historical accountability; Political violence and democratic backsliding,mixed methods,How does platform moderation fail to account for local histories of political violence during high-stakes electoral periods?,是,
,,,,,,Critical discourse analysis of techno-optimism and industry legitimation; Journalism-industry power dynamics and source dependence in covering Big Tech; Sociotechnical imaginaries and the framing of technological disruption,unknown,"How did American journalistic discourse frame the 2023–2024 tech industry mass layoffs in relation to artificial intelligence, and what does this reveal about the shifting power dynamics between journalism and Big Tech?",是,
,,,,,,"Mediated visibility and sensory politics in digital environments; Disability, embodiment, and counter-visual practices on short-video platforms; The paradox of visual dominance in ostensibly non-visual communication contexts",qualitative,How do blind vloggers navigate and subvert the visual paradox of mediated visibility on visually dominant short-video platforms?,是,
,,,,,,Gender representation and bias in AI-generated media content; Stereotype reinforcement through algorithmic systems; Platform-level variation in AI content production and its social implications,unknown,"How do leading text-to-image generative AI platforms (DALL·E, Midjourney, Stable Diffusion) underrepresent women and produce stereotypical portrayals across time?",是,
,,,,,,Intersectional feminist allyship discourses in digital spaces; Neoliberal self-actualization and platform capitalism; Digital feminism and social media platform governance,unknown,How do popular intersectional allyship discourses in contemporary digital feminism align with the neoliberal ethos of self-actualization encouraged by capitalist social media platforms?,是,
,,,,,,Digital disconnection and selective avoidance as political practices; Platform-mediated partisan polarization and public sphere fragmentation; Political incivility and blocked communication in non-Western digital contexts,mixed methods,"How do disconnective behaviors (block talk, selective avoidance, and political incivility) on Persian Twitter contribute to partisan polarization and the fragmentation of the public sphere?",是,
,,,,,,Media effects beyond exposure measures; Subjective appraisal and sense-making of technology use; Contextual and experiential dimensions of digital media consumption,qualitative,How do people subjectively appraise and make sense of their evening social media use in context?,是,
,,,,,,Digital intimacy and parasocial relationships in creator-fan dynamics; Platform-specific identity negotiation and self-presentation tactics; Economic logic of crowdfunding and the commodification of authenticity,unknown,How do crowdfunded music creators employ distinct self-presentation strategies across Patreon and YouTube to cultivate digital intimacy with their fan bases?,是,
,,,,,,Epistemic power of AI in knowledge infrastructures; Platform convergence and AI-centered ecosystems; Sociological theory of generative AI's influence on knowledge production,unknown,How does generative AI exercise epistemic power by structuring knowledge infrastructures within the context of AI-centered platform convergence?,是,
,,,,,,Algorithmic governance and platform precarity for marginalized creators; Ethnoreligious identity performance and strategic visibility under surveillance; Sociopolitical events as triggers for algorithmic reconfiguration and adaptive navigation strategies,qualitative,How do ethnoreligious content creators develop and adapt strategies of algorithmic navigation on Instagram in response to shifting offline sociopolitical events that heighten their precarity?,是,
,,,,,,Problem framing theory and its material consequences for intervention design; Critical re-examination of taken-for-granted assumptions about misinformation as a social problem; Epistemological critique of dominant solutionist approaches to digital misinformation,unknown,How does reframing the problem of misinformation radically alter the landscape of plausible and effective solutions?,是,
,,,,,,Platform governance and user responsibility in mental health content moderation; Digital trauma and sensitive content exposure on social media; Affordances of social media for mental illness-related information and support versus harm,mixed methods,How do social media platforms balance user responsibility with platform accountability in the context of exposure to mental illness-related sensitive content?,是,
,,,,,,Commodification of Black womanhood through digital platforms; Racework and racialized labor in intimate interracial relationships; Mediated identity construction and racial authenticity in social media economies,qualitative,"How do Black Wife Effect TikTok posts discursively and visually construct Black womanhood as a commodity that enhances white male social capital, and what forms of racework do these representations normalize?",是,
,,,,,,Digital religion and networked religious authority; Everyday influencers and liquid credibility in online faith communities; Youth religious practice and identity formation in digital spaces,qualitative,How do everyday influencers reshape religious authority and credibility in young Muslims' digital religious practice?,是,
,,,,,,Intersectionality of marginalized identities in online political expression; Online harassment as a mechanism of silencing political participation; Affective costs of political engagement on social media platforms,quantitative,How do religion and gender intersect to shape experiences of online harassment and the perceived costs of political engagement among social media users?,是,
,,,,,,Negative campaigning and political communication dynamics; Cross-platform social media political discourse; Longitudinal analysis of digital political strategies,unknown,"How do supply and demand dynamics of negative campaigning by Norwegian political parties vary across Facebook, Instagram, and Twitter over an 11-year period from 2013 to 2024?",否,
,,,,,,Platform-mediated maternal subjectivity and digital victimhood; Affective labor and monetization of personal pain in creator economies; Gendered emotional capitalism and performance of suffering on social media,unknown,How do mom creators on Xiaohongshu articulate maternal pain and reproductive suffering as a form of platform-mediated digital victimhood?,是,
,,,,,,Media effects and adolescent well-being; Technology-induced stress vs. stress-buffering mechanisms; Mobile communication and mental health in developmental contexts,quantitative,Is smartphone use stress-inducing or stress-buffering for adolescents when examined through real-time experience sampling?,是,
,,,,,,"Stakeholder justification and moral economy in accessibility implementation; Disability studies and inclusive game design in media industries; Institutional logics and decision-making under competing values (moral, financial, legal)",qualitative,"How do game industry practitioners discursively justify investment in accessibility for players with disabilities when balancing moral, financial, and legal considerations?",是,
,,,,,,Parasocial romance and emotional authenticity in human-AI/character interaction; Reciprocal love construction through ludic narrative mechanics; Cultural specificity of romantic affect in East Asian digital game contexts,qualitative,"How do players of otome games construct and articulate emotionally meaningful, reciprocally romantic relationships within the constrained narrative architecture of romantic simulation games?",是,
,,,,,,Geopolitics of digital interfaces and infrastructural power; Restructuring of communication power in the transition from search engines to AI agents; Interface control as a mechanism of global communication power and geopolitical struggle; Platform governance and the political economy of digital intermediaries,unknown,"How does control over digital interfaces (search engines, social media, and AI agents) restructure global communication power and manifest as geopolitical struggles?",是,
,,,,,,Platform visibility and governance in feminist content creation; Gendered censorship and algorithmic control on social media; Feminist discourse production under digital surveillance capitalism,qualitative,"How do feminist content creators on Douyin navigate platform visibility, governance, and gendered censorship to disseminate feminist discourse?",是,
,,,,,,Consumer socialization in digital environments; Reverse intergenerational knowledge exchange; Social media platforms as socialization agents; Adolescent agency in family communication dynamics,qualitative,How does TikTok function as a consumer socialization agent for adolescents and facilitate reverse intergenerational knowledge exchange within families?,是,
,,,,,,Uncertainty reduction theory extension beyond interpersonal/human dyadic contexts; Human-AI socio-emotional relationship formation and maintenance; Collective/communal strategies for navigating communication uncertainty with non-human agents,mixed methods,How do users employ communal uncertainty reduction strategies to navigate uncertainty in socio-emotional relationships with AI chatbots?,是,
,,,,,,Affordance-based identity performance and digital space-making for marginalized groups in STEM; Social media as a counter-narrative tool against gendered stereotypes in professional domains; Visual rhetoric and multimodal communication strategies for community building among women in STEM,mixed methods,"How do women in STEM content creators on TikTok use visual and platform-specific features to construct identity, counter stereotypes, and create digital spaces for community and representation?",是,
,,,,,,Children's misinformation literacy and vulnerability; Developmental trajectories in critical media reception; Social media's role in early childhood information environments,mixed methods,"How do children aged 5–12 perceive, experience, and respond to misinformation on social media?",是,
,,,,,,Knowledge gap and political learning in high-choice media environments; Corrective strategies and unintended effects of media literacy interventions; News-Finds-Me perception as a cognitive heuristic affecting information behavior,unknown,How does exposure to educational warnings about the News-Finds-Me perception affect individuals' political knowledge acquisition and do these warnings produce unintended side effects?,是,
,,,,,,Platformisation of news production and distribution; Algorithmic curation and its impact on content diversity; Institutional differentiation and homogenisation of news outlets,mixed methods,How does the platformisation of news distribution flatten topical diversity across different types of news outlets?,是,
,,,,,,AI literacy in communication education; Ethics pedagogy for emerging technologies; Curricular adaptation to technological disruption,qualitative,How can communication curricula integrate AI literacy and ethical frameworks to prepare students for emerging technological challenges?,是,
,,,,,,Human-centered communication approaches; Technology-human interaction in media; Humanistic values in mediated communication; Agency and subjectivity in communication systems,qualitative,How does centering human perspectives reshape communication practices and systems?,是,
,,,,,,Career trajectories and professional outcomes in communication and media studies education; Institutional reputation and alumni achievement as indicators of program efficacy; Educational-to-professional pipeline in communication disciplines,unknown,How do alumni of communication and media studies programs achieve professional success?,否,